Date,EUR_M3,EUR_M6,EUR_YR1,EUR_YR2,EUR_YR3,EUR_YR4,EUR_YR5,EUR_YR6,EUR_YR7,EUR_YR8,EUR_YR9,EUR_YR10,EUR_YR15,EUR_YR20,EUR_YR30,USD_M3,USD_M6,USD_YR1,USD_YR2,USD_YR3,USD_YR4,USD_YR5,USD_YR6,USD_YR7,USD_YR8,USD_YR9,USD_YR10,USD_YR15,USD_YR20,USD_YR30,JPY_M3,JPY_M6,JPY_YR1,JPY_YR2,JPY_YR3,JPY_YR4,JPY_YR5,JPY_YR6,JPY_YR7,JPY_YR8,JPY_YR9,JPY_YR10,JPY_YR15,JPY_YR20,JPY_YR30,CZK_M3,CZK_M6,CZK_YR1,CZK_YR2,CZK_YR3,CZK_YR4,CZK_YR5,CZK_YR6,CZK_YR7,CZK_YR8,CZK_YR9,CZK_YR10,CZK_YR15,CZK_YR20,CZK_YR30,PLN_M3,PLN_M6,PLN_YR1,PLN_YR2,PLN_YR3,PLN_YR4,PLN_YR5,PLN_YR6,PLN_YR7,PLN_YR8,PLN_YR9,PLN_YR10,PLN_YR15,PLN_YR20,PLN_YR30
3/31/1989,,,,,,,,,,,,,,,,10.314,10.686,11.073,10.863,10.62,10.492,10.397,10.344,10.288,10.246,10.201,10.154,10.186,10.202,10.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/1989,,,,,,,,,,,,,,,,10.063,10.063,10.127,10.313,10.164,10.123,10.023,10.054,10.085,10.061,10.036,10.011,10.02,10.025,10.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/1989,,,,,,,,,,,,,,,,9.563,9.5,9.5,9.561,9.56,9.548,9.522,9.523,9.523,9.524,9.524,9.524,9.525,9.526,9.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/1989,,,,,,,,,,,,,,,,9.313,9.128,8.997,8.817,8.854,8.927,8.976,9.026,9.078,9.079,9.081,9.083,9.074,9.07,9.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/1989,,,,,,,,,,,,,,,,8.563,8.378,8.248,8.383,8.473,8.505,8.577,8.652,8.729,8.8,8.873,8.95,8.916,8.899,8.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/31/1989,,,,,,,,,,,,,,,,9,8.999,8.936,9.172,9.156,9.191,9.214,9.232,9.251,9.273,9.296,9.321,9.309,9.303,9.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/1989,,,,,,,,,,,,,,,,9.187,9.124,9.061,9.253,9.273,9.319,9.33,9.367,9.407,9.379,9.351,9.324,9.325,9.326,9.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/1989,,,,,,,,,,,,,,,,8.688,8.499,8.436,8.659,8.736,8.816,8.925,8.965,9.007,9.007,9.007,9.009,8.997,8.991,8.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1989,,,,,,,,,,,,,,,,8.497,8.312,8.249,8.428,8.562,8.7,8.782,8.828,8.877,8.909,8.943,8.98,8.957,8.945,8.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1989,,,,,,,,,,,,,,,,8.373,8.25,8.25,8.56,8.714,8.852,8.895,8.994,9.097,9.098,9.101,9.105,9.086,9.076,9.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
