Date,3-Month,6-Month,12-Month,2-Year,5-Year,10-Year,15-Year,20-Year,30-Year
10/21/2014,,,0.35,0.4,1.38,2.24,2.63,2.77,2.87
10/20/2014,,,0.34,0.41,1.39,2.25,2.64,2.77,2.88
10/17/2014,,,0.34,0.43,1.39,2.25,2.65,2.78,2.88
10/16/2014,,,0.34,0.42,1.36,2.23,2.61,2.74,2.85
10/15/2014,,,0.35,0.5,1.44,2.28,2.65,2.78,2.91
10/14/2014,,,0.35,0.5,1.44,2.27,2.64,2.78,2.9
10/13/2014,,,0.35,0.5,1.44,2.27,2.64,2.78,2.9
10/10/2014,,,0.35,0.53,1.49,2.32,2.7,2.84,2.97
10/9/2014,,,0.35,0.51,1.43,2.27,2.65,2.79,2.92
10/8/2014,,,0.35,0.54,1.53,2.32,2.69,2.82,2.95
10/7/2014,,,0.35,0.56,1.57,2.36,2.72,2.85,2.98
10/3/2014,,,0.35,0.58,1.6,2.39,2.76,2.88,3.02
10/2/2014,,,0.35,0.57,1.6,2.39,2.76,2.88,3.01
10/1/2014,,,0.36,0.58,1.65,2.47,2.84,2.95,3.07
9/30/2014,,,0.35,0.59,1.67,2.47,2.86,2.95,3.08
9/29/2014,,,0.35,0.59,1.66,2.49,2.86,2.96,3.08
9/26/2014,,,0.35,0.58,1.62,2.46,2.82,2.94,3.06
9/25/2014,,,0.35,0.59,1.58,2.49,2.85,2.97,3.09
9/24/2014,,,0.35,0.58,1.54,2.47,2.84,2.95,3.07
9/23/2014,,,0.35,0.57,1.52,2.47,2.84,2.96,3.08
9/22/2014,,,0.35,0.58,1.55,2.5,2.87,2.99,3.1
9/19/2014,,,0.35,0.6,1.57,2.57,2.93,3.05,3.16
9/18/2014,,,0.35,0.58,1.53,2.52,2.89,3.02,3.13
9/17/2014,,,0.35,0.56,1.54,2.52,2.89,3.02,3.12
9/16/2014,,,0.35,0.56,1.53,2.51,2.88,3,3.11
9/15/2014,,,0.35,0.58,1.56,2.55,2.91,3.03,3.14
9/12/2014,,,0.35,0.57,1.53,2.5,2.86,2.97,3.08
9/11/2014,,,0.35,0.54,1.48,2.44,2.8,2.91,3.03
9/10/2014,,,0.34,0.53,1.49,2.44,2.8,2.91,3.02
9/9/2014,,,0.34,0.52,1.42,2.38,2.74,2.85,2.96
9/8/2014,,,0.34,0.5,1.38,2.34,2.68,2.81,2.91
9/5/2014,,,0.34,0.52,1.4,2.35,2.69,2.82,2.92
9/4/2014,,,0.34,0.51,1.38,2.33,2.67,2.79,2.89
9/3/2014,,,0.34,0.52,1.38,2.36,2.71,2.81,2.91
9/2/2014,,,0.34,0.51,1.33,2.31,2.68,2.78,2.88
9/1/2014,,,0.34,0.5,1.29,2.28,2.65,2.75,2.86
8/29/2014,,,0.34,0.51,1.3,2.27,2.64,2.75,2.85
8/28/2014,,,0.34,0.51,1.3,2.28,2.65,2.74,2.85
8/27/2014,,,0.34,0.52,1.31,2.3,2.67,2.77,2.88
8/26/2014,,,0.34,0.46,1.31,2.32,2.68,2.78,2.89
8/25/2014,,,0.34,0.47,1.31,2.34,2.7,2.8,2.91
8/22/2014,,,0.34,0.47,1.29,2.35,2.72,2.83,2.95
8/21/2014,,,0.34,0.47,1.29,2.36,2.74,2.84,2.96
8/20/2014,,,0.34,0.46,1.27,2.34,2.73,2.83,2.95
8/19/2014,,,0.34,0.46,1.26,2.33,2.72,2.82,2.93
8/18/2014,,,0.34,0.46,1.25,2.32,2.71,2.81,2.93
8/15/2014,,,0.34,0.46,1.26,2.35,2.74,2.83,2.95
8/14/2014,,,0.33,0.45,1.25,2.37,2.76,2.85,2.97
8/13/2014,,,0.33,0.45,1.31,2.42,2.81,2.9,3.01
8/12/2014,,,0.33,0.44,1.27,2.37,2.76,2.85,2.95
8/11/2014,,,0.33,0.43,1.26,2.37,2.77,2.85,2.95
8/8/2014,,,0.33,0.43,1.24,2.34,2.74,2.83,2.92
8/7/2014,,,0.34,0.43,1.24,2.4,2.79,2.87,2.98
8/6/2014,,,0.34,0.43,1.25,2.41,2.81,2.89,3.01
8/5/2014,,,0.34,0.43,1.24,2.43,2.83,2.9,3.01
8/4/2014,,,0.34,0.43,1.23,2.44,2.83,2.9,3.01
8/1/2014,,,0.34,0.44,1.27,2.49,2.88,2.94,3.06
7/31/2014,,,0.34,0.44,1.27,2.46,2.86,2.91,3.03
7/30/2014,,,0.34,0.43,1.24,2.42,2.84,2.88,3.01
7/29/2014,,,0.34,0.42,1.2,2.42,2.83,2.9,3.02
7/25/2014,,,0.34,0.41,1.18,2.27,2.85,2.92,3.04
7/24/2014,,,0.34,0.41,1.15,2.24,2.83,2.9,3.02
7/23/2014,,,0.34,0.4,1.14,2.24,2.84,2.91,3.02
7/22/2014,,,0.34,0.4,1.14,2.25,2.85,2.93,3.04
7/21/2014,,,0.34,0.4,1.13,2.25,2.86,2.94,3.05
7/18/2014,,,0.34,0.4,1.12,2.25,2.86,2.94,3.05
7/17/2014,,,0.34,0.4,1.13,2.27,2.89,2.96,3.07
7/16/2014,,,0.34,0.4,1.14,2.29,2.91,2.98,3.09
7/15/2014,,,0.34,0.4,1.14,2.29,2.91,2.98,3.1
7/14/2014,,,0.34,0.4,1.13,2.3,2.91,2.98,3.09
7/11/2014,,,0.34,0.4,1.11,2.29,2.92,2.98,3.09
7/10/2014,,,0.34,0.4,1.11,2.29,2.92,2.98,3.09
7/9/2014,,,0.34,0.4,1.12,2.31,2.93,3,3.11
7/8/2014,,,0.34,0.4,1.13,2.31,2.95,3.02,3.13
7/7/2014,,,0.34,0.4,1.15,2.33,2.97,3.04,3.15
7/4/2014,,,0.34,0.39,1.15,2.33,2.96,3.03,3.14
7/3/2014,,,0.34,0.39,1.15,2.33,2.96,3.04,3.14
